;Команда_1;Голы_1;Команда_2;Голы_2;xG_1;xG_2;Удары_1;Удары_2;Удары в створ_1;Удары в створ_2;Блок-но ударов_1;Блок-но ударов_2;Сейвы_1;Сейвы_2;Владение %_1;Владение %_2;Угловые_1;Угловые_2;Нарушения_1;Нарушения_2;Офсайды_1;Офсайды_2;Желтые карточки_1;Желтые карточки_2;Красные карточки_1;Красные карточки_2;Атаки_1;Атаки_2;Опасные атаки_1;Опасные атаки_2;Передачи_1;Передачи_2;Точность передач %_1;Точность передач %_2;Штрафные удары_1;Штрафные удары_2;Вбрасывания_1;Вбрасывания_2;Навесы_1;Навесы_2;Отборы_1;Отборы_2;Раунд;Дата;Время;Кэф_1;Кэф_х;Кэф_2;Градусы;Погода;Зрители;Дома_1;Дома_2;Таргет
112;Ростов;3;Ахмат;0;1.3415384615384616;0.8200000000000001;9.0;5.0;3.0;1.0;0.0;0.0;1.0;0.0;52.0;48.0;6.0;6.0;1.0;11.0;0.0;5.0;1.0;3.0;0.0;0.0;60.0;74.0;40.0;41.0;415.0833333333333;333.1666666666667;74.83333333333333;70.25;16.0;1.0;4.0;16.0;20.833333333333332;13.833333333333334;13.333333333333334;12.0;12;2023-10-22;12:00:00;2.2;3.77;3.39;19;переменная облачность;8707.0;1;0;1
113;Зенит;3;Крылья Советов;1;2.55;0.41;19.0;6.0;6.0;1.0;5.0;2.0;0.0;2.0;59.0;41.0;5.0;2.0;10.0;5.0;0.0;0.0;1.0;2.0;0.0;0.0;81.0;61.0;49.0;24.0;526.0;361.0;85.0;74.0;5.0;10.0;23.0;22.0;19.0;7.0;17.0;11.0;12;2023-10-22;09:30:00;1.4;5.45;8.5;14;солнечно;24402.0;1;0;1
114;Спартак;2;Пари НН;0;2.28;0.31;23.0;7.0;11.0;1.0;3.0;2.0;3.0;10.0;67.0;33.0;10.0;2.0;14.0;14.0;0.0;3.0;0.0;4.0;0.0;1.0;58.0;51.0;44.0;30.0;538.0;259.0;84.0;66.0;18.0;13.0;19.0;14.0;19.0;10.0;13.0;19.0;12;2023-10-22;07:00:00;1.72;3.87;5.75;8;солнечно;10201.0;1;0;1
115;Урал;1;ПФК Сочи;4;0.77;1.28;13.0;11.0;2.0;8.0;7.0;3.0;3.0;1.0;55.0;45.0;4.0;5.0;14.0;18.0;2.0;2.0;1.0;1.0;0.0;0.0;91.0;59.0;35.0;28.0;428.0;344.0;73.0;67.0;19.0;16.0;28.0;16.0;28.0;25.0;9.0;3.0;12;2023-10-22;05:00:00;2.27;3.38;3.58;7;переменная облачность;7817.0;1;0;2
116;Балтика;2;Краснодар;2;1.39;2.0;13.0;13.0;5.0;7.0;1.0;1.0;2.0;1.0;32.0;68.0;6.0;2.0;12.0;7.0;1.0;1.0;3.0;1.0;0.0;0.0;84.0;96.0;39.0;31.0;254.0;567.0;63.0;83.0;3.0;9.0;17.0;6.0;21.0;13.0;5.0;9.0;12;2023-10-21;12:00:00;3.7;3.5;2.17;20;солнечно;10270.0;1;0;0
117;Локомотив Москва;0;Динамо Москва;0;1.06;0.88;21.0;16.0;8.0;4.0;6.0;6.0;5.0;8.0;52.0;48.0;8.0;8.0;8.0;8.0;0.0;3.0;0.0;0.0;0.0;0.0;66.0;66.0;42.0;42.0;460.0;428.0;79.0;79.0;11.0;8.0;17.0;16.0;14.0;17.0;13.0;18.0;12;2023-10-21;09:30:00;2.23;3.93;3.19;8;солнечно;9842.0;1;0;0
118;Рубин;0;ЦСКА Москва;0;0.41;0.48;10.0;11.0;3.0;2.0;3.0;3.0;1.0;3.0;42.0;58.0;2.0;3.0;16.0;10.0;1.0;5.0;3.0;4.0;0.0;0.0;74.0;68.0;43.0;41.0;361.0;494.0;71.0;77.0;15.0;16.0;19.0;14.0;9.0;14.0;12.0;14.0;12;2023-10-21;07:00:00;3.33;3.58;2.3;6;переменная облачность;6899.0;1;0;0
119;Оренбург;1;Факел;2;1.1;1.59;25.0;13.0;8.0;7.0;2.0;2.0;4.0;6.0;72.0;28.0;14.0;2.0;11.0;14.0;1.0;1.0;4.0;2.0;0.0;0.0;77.0;59.0;44.0;37.0;500.0;210.0;84.0;50.0;11.0;8.0;30.0;14.0;43.0;6.0;10.0;12.0;12;2023-10-21;05:00:00;1.85;3.88;4.59;11;переменная облачность;2551.0;1;0;2
120;Ахмат;0;Рубин;1;0.95;2.1;19.0;11.0;4.0;3.0;4.0;1.0;2.0;4.0;63.0;37.0;6.0;5.0;11.0;12.0;6.0;2.0;3.0;2.0;0.0;0.0;88.0;77.0;57.0;36.0;504.0;292.0;77.0;66.0;14.0;17.0;32.0;15.0;15.0;10.0;12.0;13.0;11;2023-10-08;12:00:00;2.16;3.68;3.55;16;местами дождь;5104.0;1;0;2
121;Спартак;2;ЦСКА Москва;2;0.52;0.98;10.0;12.0;4.0;5.0;1.0;3.0;3.0;2.0;60.0;40.0;3.0;4.0;11.0;12.0;1.0;4.0;1.0;3.0;0.0;0.0;79.0;73.0;28.0;34.0;575.0;383.0;82.0;73.0;15.0;11.0;5.0;10.0;12.0;19.0;8.0;17.0;11;2023-10-08;12:00:00;2.53;3.63;2.9;8;солнечно;25245.0;1;0;0
122;Динамо Москва;0;Факел;0;1.34;0.84;21.0;13.0;4.0;4.0;6.0;4.0;4.0;6.0;54.0;46.0;6.0;3.0;13.0;12.0;1.0;3.0;4.0;0.0;0.0;0.0;72.0;61.0;44.0;28.0;435.0;372.0;77.0;75.0;14.0;13.0;22.0;19.0;21.0;14.0;19.0;23.0;11;2023-10-08;09:30:00;1.46;3.98;6.41;8;солнечно;7920.0;1;0;0
123;Пари НН;2;Крылья Советов;0;0.78;0.24;11.0;8.0;3.0;4.0;3.0;2.0;5.0;2.0;29.0;71.0;0.0;5.0;13.0;10.0;0.0;1.0;2.0;0.0;0.0;0.0;65.0;86.0;27.0;47.0;275.0;688.0;72.0;87.0;11.0;14.0;17.0;23.0;7.0;20.0;16.0;11.0;11;2023-10-08;07:00:00;2.96;3.35;2.64;7;переменная облачность;7967.0;1;0;1
124;Краснодар;3;Ростов;2;0.95;0.48;10.0;7.0;6.0;3.0;1.0;0.0;1.0;3.0;49.0;51.0;1.0;1.0;16.0;11.0;5.0;3.0;4.0;3.0;0.0;0.0;83.0;81.0;30.0;39.0;399.0;421.0;69.0;66.0;15.0;20.0;25.0;31.0;4.0;7.0;16.0;9.0;11;2023-10-07;12:00:00;1.77;4.01;4.97;21;солнечно;27375.0;1;0;1
125;Балтика;1;Оренбург;0;0.8;0.78;8.0;17.0;3.0;2.0;2.0;7.0;3.0;2.0;30.0;70.0;5.0;7.0;15.0;10.0;2.0;4.0;1.0;2.0;0.0;0.0;76.0;80.0;50.0;51.0;259.0;601.0;62.0;83.0;13.0;15.0;16.0;12.0;11.0;29.0;13.0;9.0;11;2023-10-07;09:30:00;2.24;3.66;3.38;20;солнечно;7971.0;1;0;1
126;ПФК Сочи;0;Зенит;2;0.77;1.6;9.0;8.0;5.0;3.0;0.0;1.0;2.0;4.0;39.0;61.0;3.0;3.0;15.0;11.0;1.0;1.0;1.0;0.0;0.0;0.0;67.0;78.0;27.0;35.0;344.0;560.0;82.0;85.0;11.0;15.0;17.0;24.0;18.0;12.0;6.0;14.0;11;2023-10-07;07:00:00;7.06;4.76;1.51;15;небольшой дождь;5617.0;1;0;2
127;Урал;2;Локомотив Москва;2;2.46;1.64;14.0;16.0;5.0;5.0;4.0;4.0;2.0;2.0;40.0;60.0;8.0;12.0;8.0;17.0;0.0;3.0;3.0;3.0;0.0;0.0;52.0;61.0;23.0;35.0;281.0;421.0;65.0;78.0;18.0;8.0;19.0;11.0;21.0;27.0;15.0;8.0;11;2023-10-07;05:00:00;2.71;3.5;2.77;7;переменная облачность;10505.0;1;0;0
128;Ахмат;1;Динамо Москва;1;0.76;1.56;10.0;17.0;2.0;5.0;4.0;5.0;3.0;2.0;46.0;54.0;1.0;5.0;18.0;13.0;1.0;1.0;4.0;1.0;0.0;0.0;77.0;89.0;41.0;47.0;364.0;421.0;77.0;77.0;13.0;19.0;17.0;18.0;6.0;10.0;20.0;18.0;10;2023-10-01;12:00:00;3.35;4.03;2.13;16;местами дождь;4695.0;1;0;0
129;Крылья Советов;4;Спартак;0;1.25;1.04;12.0;15.0;7.0;3.0;1.0;6.0;3.0;3.0;32.0;68.0;7.0;5.0;9.0;15.0;1.0;0.0;4.0;3.0;0.0;0.0;54.0;69.0;36.0;43.0;192.0;440.0;63.0;85.0;15.0;10.0;16.0;17.0;13.0;12.0;13.0;17.0;10;2023-10-01;09:30:00;3.13;3.67;2.36;6;переменная облачность;23225.0;1;0;1
130;Факел;2;ПФК Сочи;0;1.87;0.76;17.0;7.0;5.0;1.0;2.0;0.0;1.0;3.0;48.0;52.0;12.0;4.0;15.0;17.0;2.0;0.0;0.0;4.0;0.0;0.0;63.0;58.0;35.0;21.0;315.0;340.0;66.0;65.0;17.0;17.0;17.0;23.0;21.0;14.0;17.0;6.0;10;2023-10-01;07:00:00;2.8;3.1;2.98;18;солнечно;10877.0;1;0;1
131;ЦСКА Москва;1;Балтика;0;0.75;0.61;13.0;8.0;3.0;1.0;1.0;4.0;2.0;2.0;54.0;46.0;7.0;5.0;10.0;14.0;0.0;2.0;1.0;2.0;0.0;0.0;77.0;68.0;36.0;18.0;488.0;421.0;74.0;70.0;16.0;10.0;26.0;22.0;20.0;16.0;18.0;11.0;10;2023-09-30;12:00:00;1.7;4.12;5.38;8;солнечно;8135.0;1;0;1
132;Рубин;0;Краснодар;2;0.57;1.42;15.0;15.0;3.0;4.0;4.0;1.0;2.0;5.0;48.0;52.0;3.0;4.0;20.0;14.0;4.0;4.0;1.0;2.0;0.0;0.0;62.0;65.0;33.0;28.0;349.0;393.0;75.0;76.0;18.0;21.0;13.0;23.0;16.0;8.0;6.0;15.0;10;2023-09-30;09:30:00;3.37;3.55;2.29;6;переменная облачность;5557.0;1;0;2
133;Локомотив Москва;1;Пари НН;0;1.29;0.91;12.0;13.0;1.0;3.0;4.0;1.0;3.0;0.0;60.0;40.0;6.0;1.0;9.0;12.0;1.0;1.0;2.0;3.0;0.0;0.0;95.0;80.0;40.0;33.0;469.0;315.0;80.0;74.0;14.0;13.0;22.0;17.0;12.0;4.0;19.0;18.0;10;2023-09-30;07:15:00;1.85;3.87;4.61;8;солнечно;6059.0;1;0;1
134;Оренбург;3;Зенит;1;1.21;2.3;10.0;32.0;3.0;14.0;0.0;6.0;12.0;0.0;32.0;68.0;1.0;10.0;19.0;12.0;2.0;2.0;5.0;2.0;0.0;0.0;54.0;66.0;38.0;45.0;262.0;561.0;68.0;84.0;13.0;21.0;10.0;16.0;8.0;22.0;13.0;16.0;10;2023-09-30;05:00:00;4.81;4.29;1.74;11;переменная облачность;5482.0;1;0;1
135;Ростов;2;Урал;2;2.35;1.4;21.0;13.0;5.0;4.0;5.0;4.0;2.0;4.0;63.0;37.0;7.0;4.0;8.0;9.0;3.0;2.0;2.0;3.0;0.0;1.0;40.0;45.0;30.0;27.0;430.0;264.0;78.0;67.0;11.0;10.0;20.0;15.0;25.0;9.0;10.0;6.0;10;2023-09-29;12:00:00;2.25;3.5;3.5;19;переменная облачность;7856.0;1;0;0
136;Факел;0;Рубин;1;0.45;2.59;10.0;13.0;2.0;5.0;3.0;3.0;5.0;3.0;52.0;48.0;7.0;4.0;14.0;17.0;1.0;2.0;4.0;4.0;0.0;0.0;69.0;52.0;40.0;31.0;402.0;372.0;69.0;68.0;19.0;16.0;26.0;15.0;20.0;9.0;18.0;17.0;9;2023-09-25;12:00:00;2.73;3.24;2.94;18;солнечно;11763.0;1;0;2
137;Краснодар;2;Урал;0;0.57;1.26;11.0;6.0;6.0;1.0;2.0;1.0;1.0;5.0;62.0;38.0;5.0;4.0;10.0;12.0;1.0;1.0;2.0;1.0;0.0;0.0;89.0;60.0;43.0;23.0;462.0;280.0;82.0;69.0;12.0;12.0;28.0;10.0;16.0;10.0;4.0;9.0;9;2023-09-24;12:00:00;1.69;4.08;5.59;21;солнечно;16605.0;1;0;1
138;Ростов;3;ЦСКА Москва;3;1.27;0.82;19.0;15.0;5.0;4.0;6.0;6.0;0.0;2.0;49.0;51.0;7.0;7.0;11.0;8.0;3.0;0.0;1.0;1.0;0.0;0.0;63.0;75.0;38.0;38.0;429.0;429.0;73.0;75.0;3.0;5.0;7.0;6.0;14.0;32.0;14.0;10.0;9;2023-09-24;12:00:00;2.88;3.65;2.53;19;переменная облачность;15050.0;1;0;0
139;Зенит;1;Локомотив Москва;2;0.98;0.93;15.0;11.0;3.0;3.0;6.0;4.0;1.0;2.0;57.0;43.0;3.0;5.0;6.0;13.0;0.0;0.0;3.0;6.0;0.0;1.0;64.0;61.0;33.0;28.0;500.0;361.0;82.0;75.0;12.0;5.0;16.0;17.0;20.0;11.0;12.0;6.0;9;2023-09-24;09:30:00;1.53;4.81;6.54;14;солнечно;36283.0;1;0;2
140;Пари НН;3;Оренбург;1;1.97;1.13;19.0;8.0;11.0;3.0;2.0;1.0;2.0;5.0;46.0;54.0;6.0;4.0;18.0;4.0;1.0;0.0;3.0;1.0;0.0;0.0;77.0;63.0;44.0;27.0;324.0;377.0;81.0;81.0;4.0;18.0;23.0;16.0;15.0;23.0;18.0;24.0;9;2023-09-24;07:00:00;2.83;3.41;2.71;7;переменная облачность;6790.0;1;0;1
141;Спартак;1;Динамо Москва;0;1.39;0.68;18.0;21.0;7.0;7.0;5.0;7.0;6.0;5.0;55.0;45.0;4.0;8.0;11.0;12.0;1.0;3.0;3.0;1.0;0.0;0.0;75.0;80.0;38.0;42.0;508.0;406.0;87.0;83.0;15.0;11.0;13.0;13.0;12.0;17.0;11.0;7.0;9;2023-09-23;12:00:00;2.23;4.16;3.06;8;солнечно;19025.0;1;0;1
142;Балтика;1;Ахмат;0;0.4;1.32;9.0;14.0;4.0;4.0;0.0;3.0;4.0;3.0;37.0;63.0;0.0;7.0;13.0;6.0;1.0;5.0;1.0;0.0;0.0;0.0;94.0;78.0;58.0;43.0;296.0;498.0;62.0;75.0;11.0;14.0;24.0;27.0;9.0;13.0;8.0;10.0;9;2023-09-23;09:30:00;2.46;3.5;3.1;20;солнечно;9113.0;1;0;1
143;Крылья Советов;2;ПФК Сочи;1;0.48;1.96;7.0;11.0;4.0;4.0;2.0;3.0;2.0;2.0;40.0;60.0;3.0;2.0;9.0;15.0;0.0;2.0;0.0;3.0;0.0;0.0;90.0;84.0;51.0;50.0;356.0;539.0;79.0;86.0;15.0;9.0;13.0;17.0;7.0;13.0;19.0;16.0;9;2023-09-23;07:00:00;1.89;3.82;4.45;6;переменная облачность;9651.0;1;0;1
144;Локомотив Москва;0;Оренбург;2;0.55;0.4;10.0;11.0;2.0;4.0;6.0;2.0;2.0;3.0;46.0;54.0;6.0;3.0;12.0;12.0;1.0;0.0;0.0;2.0;0.0;0.0;64.0;71.0;38.0;27.0;366.0;434.0;70.0;80.0;10.0;13.0;22.0;21.0;17.0;16.0;16.0;9.0;8;2023-09-17;12:00:00;1.81;4.32;4.32;8;солнечно;5957.0;1;0;2
145;Рубин;0;Зенит;3;0.76;1.48;12.0;5.0;2.0;4.0;3.0;0.0;1.0;4.0;39.0;61.0;3.0;4.0;15.0;6.0;1.0;0.0;2.0;2.0;0.0;0.0;70.0;67.0;33.0;44.0;403.0;623.0;78.0;86.0;8.0;14.0;21.0;18.0;9.0;11.0;17.0;12.0;8;2023-09-17;09:30:00;4.99;3.73;1.83;6;переменная облачность;10429.0;1;0;2
146;Урал;0;Факел;0;1.02;0.35;16.0;10.0;6.0;3.0;7.0;5.0;3.0;6.0;52.0;48.0;6.0;9.0;8.0;13.0;0.0;3.0;2.0;0.0;0.0;0.0;67.0;57.0;29.0;29.0;361.0;336.0;65.0;60.0;15.0;7.0;32.0;14.0;21.0;16.0;10.0;12.0;8;2023-09-17;07:00:00;1.96;3.5;4.58;7;переменная облачность;9316.0;1;0;0
147;Балтика;2;Ростов;2;0.56;1.07;14.0;13.0;5.0;7.0;4.0;2.0;5.0;2.0;50.0;50.0;5.0;1.0;10.0;9.0;2.0;3.0;1.0;1.0;0.0;0.0;96.0;80.0;50.0;48.0;394.0;411.0;63.0;67.0;12.0;11.0;34.0;22.0;10.0;5.0;13.0;13.0;8;2023-09-16;14:15:00;2.11;3.54;3.85;20;солнечно;11712.0;1;0;0
148;Спартак;1;ПФК Сочи;0;1.83;0.87;17.0;5.0;7.0;1.0;4.0;1.0;1.0;7.0;69.0;31.0;6.0;5.0;11.0;19.0;0.0;4.0;2.0;2.0;0.0;0.0;85.0;57.0;48.0;19.0;605.0;267.0;87.0;67.0;23.0;10.0;17.0;15.0;20.0;15.0;5.0;23.0;8;2023-09-16;12:00:00;1.53;4.84;6.4;8;солнечно;8760.0;1;0;1
149;Ахмат;1;Краснодар;1;1.17;0.86;12.0;11.0;6.0;3.0;2.0;3.0;3.0;5.0;36.0;64.0;4.0;11.0;14.0;5.0;1.0;5.0;2.0;0.0;0.0;0.0;62.0;99.0;30.0;59.0;290.0;505.0;72.0;82.0;12.0;15.0;7.0;17.0;7.0;28.0;15.0;14.0;8;2023-09-16;09:30:00;2.94;3.52;2.56;16;местами дождь;3768.0;1;0;0
150;ЦСКА Москва;2;Крылья Советов;2;1.85;2.11;16.0;14.0;6.0;4.0;4.0;3.0;1.0;4.0;52.0;48.0;3.0;2.0;16.0;21.0;1.0;4.0;3.0;3.0;1.0;1.0;93.0;70.0;45.0;30.0;427.0;387.0;74.0;73.0;25.0;15.0;16.0;21.0;12.0;8.0;11.0;15.0;8;2023-09-16;07:00:00;1.8;4.02;4.74;8;солнечно;8109.0;1;0;0
151;Динамо Москва;1;Пари НН;1;1.76;1.14;14.0;14.0;3.0;7.0;2.0;2.0;6.0;4.0;65.0;35.0;4.0;5.0;8.0;14.0;0.0;2.0;2.0;3.0;0.0;0.0;59.0;35.0;30.0;18.0;498.0;261.0;78.0;68.0;15.0;8.0;29.0;15.0;10.0;12.0;13.0;24.0;8;2023-09-15;12:00:00;1.73;4.05;5.2;8;солнечно;9287.0;1;0;0
152;Ростов;1;Динамо Москва;2;0.8;1.2;14.0;19.0;4.0;7.0;3.0;4.0;5.0;1.0;50.0;50.0;5.0;6.0;8.0;12.0;2.0;2.0;4.0;3.0;1.0;0.0;67.0;67.0;49.0;42.0;370.0;377.0;78.0;78.0;16.0;10.0;20.0;20.0;26.0;9.0;12.0;16.0;7;2023-09-03;13:00:00;2.99;3.79;2.4;19;переменная облачность;11001.0;1;0;2
153;ЦСКА Москва;1;Зенит;1;0.95;0.89;4.0;14.0;1.0;4.0;1.0;5.0;3.0;0.0;29.0;71.0;3.0;12.0;15.0;11.0;4.0;3.0;3.0;3.0;0.0;0.0;78.0;75.0;34.0;37.0;278.0;687.0;72.0;87.0;15.0;18.0;13.0;15.0;10.0;25.0;10.0;15.0;7;2023-09-03;10:30:00;3.0;3.36;2.6;8;солнечно;20947.0;1;0;0
154;Локомотив Москва;3;Балтика;2;1.74;0.64;12.0;9.0;7.0;3.0;2.0;2.0;1.0;4.0;45.0;55.0;6.0;5.0;12.0;14.0;1.0;0.0;1.0;1.0;0.0;0.0;58.0;71.0;31.0;48.0;337.0;413.0;66.0;69.0;13.0;14.0;18.0;22.0;15.0;13.0;11.0;5.0;7;2023-09-03;08:15:00;2.05;3.9;3.68;8;солнечно;7652.0;1;0;1
155;Оренбург;3;ПФК Сочи;0;2.52;0.26;16.0;8.0;6.0;1.0;3.0;0.0;1.0;4.0;55.0;45.0;14.0;3.0;11.0;18.0;2.0;1.0;1.0;5.0;0.0;0.0;56.0;59.0;38.0;40.0;388.0;333.0;79.0;74.0;19.0;12.0;16.0;15.0;26.0;13.0;15.0;19.0;7;2023-09-03;06:00:00;2.5;3.66;2.92;11;переменная облачность;10382.0;1;0;1
156;Краснодар;2;Спартак;0;1.91;0.56;10.0;11.0;4.0;4.0;1.0;3.0;5.0;3.0;47.0;53.0;2.0;5.0;12.0;11.0;0.0;5.0;3.0;2.0;0.0;0.0;81.0;76.0;34.0;33.0;372.0;418.0;75.0;77.0;15.0;13.0;17.0;18.0;8.0;16.0;8.0;10.0;7;2023-09-02;13:00:00;2.37;3.87;2.98;21;солнечно;32766.0;1;0;1
157;Крылья Советов;3;Факел;0;1.56;0.99;12.0;7.0;7.0;2.0;3.0;2.0;3.0;3.0;49.0;51.0;4.0;1.0;10.0;12.0;0.0;1.0;1.0;2.0;0.0;0.0;78.0;83.0;43.0;51.0;350.0;367.0;73.0;75.0;13.0;10.0;18.0;21.0;14.0;17.0;7.0;8.0;7;2023-09-02;10:30:00;1.89;3.64;4.74;6;переменная облачность;6445.0;1;0;1
158;Пари НН;2;Рубин;1;0.89;2.05;7.0;24.0;3.0;7.0;3.0;7.0;6.0;1.0;36.0;64.0;2.0;9.0;10.0;7.0;1.0;2.0;2.0;1.0;0.0;0.0;59.0;74.0;22.0;40.0;256.0;437.0;60.0;76.0;9.0;11.0;28.0;38.0;7.0;20.0;15.0;12.0;7;2023-09-02;08:15:00;2.31;3.33;3.54;7;переменная облачность;7374.0;1;0;1
159;Урал;0;Ахмат;1;1.54;1.02;21.0;6.0;6.0;2.0;4.0;1.0;1.0;5.0;55.0;45.0;11.0;4.0;9.0;12.0;2.0;1.0;0.0;3.0;0.0;0.0;93.0;59.0;42.0;20.0;418.0;356.0;74.0;67.0;13.0;12.0;29.0;13.0;32.0;6.0;7.0;13.0;7;2023-09-02;06:00:00;2.37;3.44;3.31;7;переменная облачность;10382.0;1;0;2
160;ПФК Сочи;0;Локомотив Москва;1;1.3733333333333333;1.0916666666666666;8.0;11.0;0.0;9.0;5.0;2.0;8.0;0.0;53.0;47.0;3.0;3.0;6.0;10.0;2.0;0.0;1.0;3.0;0.0;0.0;79.0;77.0;34.0;42.0;433.75;392.4166666666667;77.75;74.83333333333333;10.0;8.0;23.0;25.0;18.416666666666668;18.166666666666668;13.5;14.416666666666666;6;2023-08-27;13:00:00;2.32;3.81;3.1;15;небольшой дождь;6089.0;1;0;2
161;Крылья Советов;2;Балтика;1;1.26;0.52;9.0;11.0;3.0;2.0;2.0;3.0;2.0;1.0;47.0;53.0;3.0;5.0;8.0;21.0;0.0;0.0;3.0;1.0;0.0;0.0;69.0;74.0;31.0;43.0;389.0;444.0;70.0;76.0;21.0;9.0;18.0;27.0;6.0;16.0;9.0;13.0;6;2023-08-27;10:30:00;2.34;3.42;3.38;6;переменная облачность;6890.0;1;0;1
162;Пари НН;1;Ростов;0;1.86;0.88;14.0;10.0;3.0;0.0;1.0;1.0;0.0;2.0;38.0;62.0;4.0;8.0;13.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;69.0;85.0;25.0;39.0;311.0;490.0;64.0;77.0;5.0;13.0;8.0;8.0;12.0;25.0;6.0;7.0;6;2023-08-26;13:00:00;2.91;3.21;2.78;7;переменная облачность;6697.0;1;0;1
163;Спартак;0;Ахмат;0;0.77;0.84;16.0;16.0;8.0;6.0;5.0;5.0;6.0;8.0;62.0;38.0;9.0;7.0;9.0;23.0;1.0;2.0;1.0;2.0;0.0;0.0;67.0;60.0;24.0;31.0;447.0;272.0;78.0;67.0;26.0;9.0;22.0;26.0;20.0;21.0;18.0;17.0;6;2023-08-26;12:30:00;1.72;4.42;4.84;8;солнечно;12086.0;1;0;0
164;Рубин;2;Динамо Москва;2;1.55;0.62;12.0;13.0;7.0;4.0;1.0;3.0;2.0;6.0;57.0;43.0;4.0;5.0;9.0;11.0;0.0;3.0;1.0;4.0;0.0;1.0;61.0;57.0;37.0;25.0;457.0;338.0;81.0;72.0;12.0;8.0;13.0;23.0;15.0;12.0;9.0;13.0;6;2023-08-26;10:30:00;3.31;3.84;2.21;6;переменная облачность;6948.0;1;0;0
165;Зенит;4;Урал;0;2.93;0.11;15.0;4.0;7.0;0.0;4.0;1.0;0.0;3.0;67.0;33.0;6.0;3.0;8.0;16.0;2.0;1.0;1.0;2.0;0.0;0.0;80.0;80.0;40.0;31.0;710.0;339.0;88.0;76.0;17.0;10.0;10.0;11.0;13.0;8.0;15.0;14.0;6;2023-08-26;08:00:00;1.57;4.38;6.61;14;солнечно;25723.0;1;0;1
166;Факел;0;Краснодар;0;0.69;1.59;8.0;15.0;4.0;1.0;2.0;6.0;1.0;4.0;34.0;66.0;3.0;5.0;10.0;10.0;1.0;2.0;1.0;1.0;0.0;0.0;52.0;56.0;33.0;36.0;275.0;558.0;59.0;79.0;10.0;8.0;16.0;22.0;16.0;20.0;25.0;12.0;6;2023-08-25;13:00:00;3.56;3.52;2.22;18;солнечно;13471.0;1;0;0
167;Оренбург;1;ЦСКА Москва;1;1.4;0.22;13.0;5.0;3.0;2.0;2.0;2.0;1.0;2.0;59.0;41.0;3.0;2.0;9.0;15.0;1.0;2.0;1.0;3.0;0.0;0.0;76.0;53.0;54.0;59.0;479.0;335.0;86.0;73.0;18.0;9.0;20.0;25.0;21.0;8.0;15.0;26.0;6;2023-08-25;10:30:00;4.2;4.2;1.86;11;переменная облачность;4283.0;1;0;0
168;Ахмат;4;Оренбург;0;3.79;0.93;17.0;15.0;8.0;4.0;3.0;5.0;4.0;2.0;34.0;66.0;2.0;6.0;12.0;13.0;2.0;6.0;1.0;3.0;0.0;0.0;71.0;89.0;28.0;52.0;244.0;483.0;69.0;83.0;17.0;13.0;17.0;19.0;6.0;19.0;13.0;16.0;5;2023-08-20;13:00:00;1.95;4.08;3.9;16;местами дождь;5548.0;1;0;1
169;Спартак;1;Зенит;3;1.23;1.04;14.0;12.0;4.0;3.0;1.0;2.0;0.0;3.0;52.0;48.0;5.0;3.0;19.0;12.0;1.0;4.0;2.0;2.0;0.0;0.0;52.0;44.0;36.0;27.0;409.0;382.0;77.0;75.0;14.0;17.0;16.0;23.0;21.0;6.0;12.0;10.0;5;2023-08-20;12:30:00;2.88;3.51;2.61;8;солнечно;14424.0;1;0;2
170;Факел;2;Пари НН;0;1.62;0.67;13.0;13.0;5.0;1.0;3.0;4.0;1.0;3.0;59.0;41.0;9.0;3.0;14.0;13.0;1.0;0.0;0.0;3.0;0.0;1.0;51.0;49.0;29.0;23.0;305.0;226.0;63.0;52.0;14.0;13.0;30.0;13.0;33.0;6.0;11.0;11.0;5;2023-08-20;10:30:00;2.43;3.07;3.6;18;солнечно;11746.0;1;0;1
171;ПФК Сочи;4;Ростов;0;1.57;0.31;11.0;11.0;6.0;2.0;2.0;4.0;2.0;2.0;49.0;51.0;4.0;8.0;9.0;8.0;3.0;2.0;0.0;1.0;0.0;0.0;72.0;85.0;32.0;43.0;411.0;411.0;76.0;72.0;10.0;11.0;24.0;24.0;10.0;24.0;6.0;8.0;5;2023-08-19;13:00:00;2.3;3.48;3.41;15;небольшой дождь;6299.0;1;0;1
172;Краснодар;1;Локомотив Москва;1;1.74;0.57;16.0;11.0;5.0;3.0;5.0;3.0;2.0;3.0;60.0;40.0;11.0;5.0;14.0;16.0;2.0;1.0;2.0;1.0;0.0;0.0;66.0;59.0;34.0;34.0;418.0;281.0;83.0;79.0;17.0;16.0;26.0;9.0;17.0;12.0;16.0;24.0;5;2023-08-19;12:30:00;1.86;4.1;4.26;21;солнечно;25019.0;1;0;0
173;Балтика;0;Урал;1;1.39;1.41;18.0;11.0;6.0;4.0;4.0;2.0;4.0;5.0;55.0;45.0;7.0;5.0;9.0;7.0;1.0;1.0;1.0;0.0;0.0;0.0;93.0;74.0;50.0;35.0;443.0;361.0;78.0;74.0;8.0;8.0;21.75;19.083333333333332;24.0;16.0;14.0;11.0;5;2023-08-19;10:30:00;2.51;3.25;3.23;20;солнечно;9687.0;1;0;2
