;Команда_1;Голы_1;Команда_2;Голы_2;xG_1;xG_2;Удары_1;Удары_2;Удары в створ_1;Удары в створ_2;Блок-но ударов_1;Блок-но ударов_2;Сейвы_1;Сейвы_2;Владение %_1;Владение %_2;Угловые_1;Угловые_2;Нарушения_1;Нарушения_2;Офсайды_1;Офсайды_2;Желтые карточки_1;Желтые карточки_2;Красные карточки_1;Красные карточки_2;Атаки_1;Атаки_2;Опасные атаки_1;Опасные атаки_2;Передачи_1;Передачи_2;Точность передач %_1;Точность передач %_2;Штрафные удары_1;Штрафные удары_2;Вбрасывания_1;Вбрасывания_2;Навесы_1;Навесы_2;Отборы_1;Отборы_2;Раунд;Дата;Время;Кэф_1;Кэф_х;Кэф_2;Градусы;Погода;Зрители;Дома_1;Дома_2;Таргет
22;Рубин;1;Локомотив Москва;1;1.35;1.63;15.0;12.0;4.0;4.0;6.0;4.0;3.0;2.0;40.0;60.0;5.0;3.0;9.0;9.0;2.0;0.0;1.0;3.0;1.0;0.0;79.0;75.0;48.0;55.0;319.0;496.0;72.0;78.0;7.0;12.0;15.0;14.0;18.0;14.0;8.0;12.0;25;2024-04-20;07:00:00;3.51;3.42;2.28;6;переменная облачность;9272.0;1;0;0
23;Краснодар;2;Факел;0;2.05;0.52;20.0;5.0;7.0;1.0;6.0;1.0;1.0;3.0;70.0;30.0;4.0;1.0;8.0;20.0;0.0;4.0;1.0;3.0;0.0;0.0;92.0;62.0;39.0;22.0;564.0;248.0;86.0;69.0;19.0;5.0;16.0;9.0;12.0;5.0;18.0;16.0;25;2024-04-19;12:00:00;1.75;3.82;5.54;21;солнечно;15852.0;1;0;1
24;Крылья Советов;2;Рубин;0;0.8;0.5;7.0;12.0;3.0;1.0;1.0;2.0;1.0;1.0;40.0;60.0;1.0;8.0;8.0;20.0;1.0;2.0;3.0;5.0;0.0;0.0;73.0;98.0;26.0;53.0;297.0;422.0;67.0;77.0;15.0;7.0;17.0;21.0;8.0;10.0;11.833333333333334;13.583333333333334;24;2024-04-14;12:00:00;2.3;3.44;3.44;6;переменная облачность;9825.0;1;0;1
25;Факел;0;Ростов;1;0.42;1.64;7.0;17.0;1.0;5.0;3.0;4.0;2.0;1.0;41.0;59.0;3.0;1.0;16.0;8.0;3.0;0.0;4.0;2.0;0.0;0.0;85.0;75.0;45.0;41.0;262.0;377.0;51.0;61.0;8.0;19.0;28.0;23.0;8.0;13.0;9.0;11.0;24;2024-04-14;09:45:00;3.17;3.23;2.56;18;солнечно;12337.0;1;0;2
26;Урал;2;Динамо Москва;1;2.08;0.52;13.0;9.0;8.0;2.0;1.0;3.0;1.0;6.0;44.0;56.0;6.0;3.0;17.0;10.0;1.0;1.0;6.0;3.0;1.0;0.0;56.0;57.0;26.0;24.0;318.0;410.0;67.0;74.0;12.0;19.0;19.0;28.0;19.0;9.0;25.0;12.0;24;2024-04-14;07:15:00;3.92;3.82;2.0;7;переменная облачность;9545.0;1;0;1
27;Оренбург;3;Пари НН;1;2.25;0.98;12.0;16.0;6.0;5.0;2.0;3.0;5.0;3.0;44.0;56.0;5.0;13.0;14.0;15.0;1.0;1.0;2.0;2.0;0.0;0.0;68.0;68.0;36.0;46.0;346.0;427.0;72.0;80.0;14.0;14.0;26.0;16.0;14.0;31.0;10.0;11.0;24;2024-04-14;05:00:00;2.08;3.38;4.16;11;переменная облачность;3956.0;1;0;1
28;Локомотив Москва;3;ЦСКА Москва;3;1.33;1.64;16.0;16.0;5.0;9.0;3.0;3.0;6.0;2.0;55.0;45.0;9.0;9.0;9.0;8.0;1.0;0.0;2.0;0.0;0.0;0.0;77.0;83.0;37.0;40.0;432.0;344.0;81.0;78.0;7.0;11.0;17.0;12.0;13.0;24.0;18.0;13.0;24;2024-04-13;12:30:00;2.5;3.67;2.91;8;солнечно;15070.0;1;0;0
29;Краснодар;1;Зенит;2;0.54;1.63;11.0;10.0;4.0;4.0;4.0;2.0;3.0;3.0;46.0;54.0;4.0;1.0;24.0;11.0;2.0;4.0;5.0;2.0;1.0;0.0;51.0;53.0;28.0;37.0;392.0;456.0;80.0;83.0;12.0;23.0;14.0;16.0;11.0;14.0;7.0;9.0;24;2024-04-13;10:00:00;3.45;3.45;2.29;21;солнечно;24766.0;1;0;2
30;Ахмат;1;Балтика;7;1.53;3.42;20.0;12.0;6.0;9.0;9.0;1.0;4.0;3.0;54.0;46.0;7.0;5.0;3.0;6.0;3.0;2.0;2.0;1.0;0.0;0.0;90.0;79.0;63.0;45.0;446.0;380.0;79.0;78.0;4.0;5.0;14.0;14.0;17.0;12.0;17.0;17.0;24;2024-04-13;09:30:00;2.16;3.44;3.82;16;местами дождь;5609.0;1;0;2
31;ПФК Сочи;1;Спартак;0;1.01;0.63;12.0;12.0;4.0;4.0;3.0;2.0;5.0;4.0;48.0;52.0;9.0;3.0;12.0;11.0;1.0;2.0;2.0;1.0;0.0;0.0;79.0;73.0;39.0;35.0;397.0;424.0;78.0;80.0;13.0;11.0;15.0;21.0;18.0;24.0;20.0;20.0;24;2024-04-13;07:00:00;3.16;3.69;2.33;15;небольшой дождь;5032.0;1;0;1
32;Оренбург;3;Рубин;0;0.77;0.43;14.0;7.0;5.0;1.0;1.0;2.0;0.0;1.0;55.0;45.0;5.0;2.0;12.0;9.0;4.0;1.0;3.0;1.0;0.0;0.0;72.0;69.0;53.0;33.0;431.0;359.0;82.0;74.0;10.0;15.0;16.0;18.0;27.0;10.0;14.0;21.0;23;2024-04-08;10:00:00;2.27;3.43;3.53;11;переменная облачность;5054.0;1;0;1
